id_voto;idservico;titulo_servico;slug_servico;slug_categoria;siglaorgao;nome_orgao;data_voto;avaliacao_voto_servico
2346;1132;Solicitar Agendamento de Exame/Reexame Teórico Técnico Condutor Infrator;solicitar-agendamento-de-examereexame-teorico-tecnico-condutor-infrator182;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-20 15:54:07.125894+00:00;1
2345;125;Solicitar carteira de identidade;expedicao-de-carteira-de-identidade127;direitos-e-cidadania;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-02-20 14:04:43.830450+00:00;2
2344;257;Solicitar carteira de identificação por nome social - CNS;solicitar-carteira-de-identificacao-por-nome-social-cns171;direitos-e-cidadania;SEC;Secretaria de Estado da Cidadania;2026-02-20 13:39:33.131999+00:00;3
2343;1099;Participar do Programa CNH MS Social;participar-do-programa-cnh-ms-social138;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-20 13:29:57.293530+00:00;5
2342;761;Contestar multa, autuação ou penalidades;contestacao-administrativa-de-multa-autuacao-e-penalidades159;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-20 09:49:20.887638+00:00;3
2341;139;Documento de arrecadação do estado de Mato Grosso do Sul (DAEMS) - emissão;documento-de-arrecadacao-do-estado-de-mato-grosso-do-sul-daems-emissao5;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-02-19 22:19:21.413629+00:00;1
2340;1161;Solicitar licença de aprendizagem de direção veicular - LADV;solicitaremitir-licenca-de-aprendizagem-de-direcao-veicular-ladv2;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-19 21:15:05.687671+00:00;1
2339;1132;Solicitar Agendamento de Exame/Reexame Teórico Técnico Condutor Infrator;solicitar-agendamento-de-examereexame-teorico-tecnico-condutor-infrator182;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-19 18:36:38.117903+00:00;5
2338;1486;Emitir guia de licenciamento anual;emitir-guia-de-licenciamento-anual100;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-19 17:14:10.891873+00:00;1
2337;677;Transferir propriedade do veículo;transferencia-de-propriedade-veicular1;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-19 15:10:49.520926+00:00;4
2336;742;Emitir documento anual do veículo (CRLV-e);emissao-de-crlv-e-licenciamento-digital13;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-19 11:55:18.932642+00:00;1
2335;1152;Solicitar bloqueio de ligação de telemarketing;solicitar-bloqueio-de-ligacao-de-telemaketing22;direitos-e-cidadania;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-02-19 02:44:24.379782+00:00;1
2334;755;Pedir Renovação da Carteira Nacional de Habilitação - CNH;emissao-da-carteira-nacional-de-habilitacao174;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-19 01:21:25.007721+00:00;1
2333;749;Requerer a certidão de tempo de contribuição e/ou declaração de tempo de contribuição;requerer-certidao-de-tempo-de-contribuicao-eou-declaracao-de-tempo-de-contribuicao98;trabalho-emprego-e-previdencia;AGEPREV;Agência de Previdência Social de Mato Grosso do Sul;2026-02-18 23:41:09.181664+00:00;1
2332;742;Emitir documento anual do veículo (CRLV-e);emissao-de-crlv-e-licenciamento-digital13;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-02-18 18:32:27.710947+00:00;3
