idservico;titulo_servico;slug_servico;slug_categoria;nome_popular;siglaorgao;nome_orgao;servico_ativo;digital;online;agendavel;acesso_externo;custo;tempo;tipo_tempo;data_criacao_servico;data_atualizacao_servico
548;Auto de lançamento e de imposição de multa (ALIM) - impugnação;auto-de-lancamento-e-de-imposicao-de-multa-alim-impugnacao83;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Conforme Tabela em Outras Informações;2023-05-16 17:43:06.785910+00:00;2025-11-05 14:34:07.193506+00:00
538;Auto de lançamento e de imposição de multa (ALIM), mod. 1 - solicitação de lavratura;auto-de-lancamento-e-de-imposicao-de-multa-alim-mod-1-solicitacao-de-lavratura97;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Dias corridos;2023-05-16 12:25:47.309076+00:00;2025-11-25 12:45:44.613550+00:00
289;Auto de lançamento e de imposição de multa (ALIM), mod. 2 - solicitação de lavratura referente a termo de apreensão (TA), conforme art. 4º da Instrução Normativa/SAT nº 001/2020;auto-de-lancamento-e-de-imposicao-de-multa-alim-mod-2-solicitacao-de-lavratura-referente-a-termo-de-apreensao-ta-conforme-art-4o-da-instrucao-normativasat-no-001-de-23-de-janeiro-de-20201;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Sem custo.;;Dias corridos;2023-05-10 13:00:45.195441+00:00;2026-04-17 19:49:02.312807+00:00
292;Auto de lançamento e de imposição de multa (ALIM), mod. 2 - solicitação de lavratura referente a TVF e/ou TA - contraditório e ampla defesa;auto-de-lancamento-e-de-imposicao-de-multa-alim-mod-2-solicitacao-de-lavratura-referente-a-tvf-eou-ta198;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Sem custo.;;Dias corridos;2023-05-10 13:27:32.075663+00:00;2026-04-22 17:50:26.144720+00:00
1512;Auto de lançamento e de imposição de multa (ALIM), mod. 2 - solicitação de lavratura referente a TVF e/ou TA - parcelamento de débito fiscal;auto-de-lancamento-e-de-imposicao-de-multa-alim-mod-2-solicitacao-de-lavratura-referente-a-tvf-eou-ta-parcelamento-de-debito-fiscal101;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Sem custo.;;Dias corridos;2026-04-17 17:35:59.396420+00:00;2026-04-17 19:49:21.427309+00:00
570;Autorização - controle de empresas interdependentes (art. 57-A da Lei nº 1.810/1997) - apenas para contribuintes de Mato Grosso do Sul;autorizacao-controle-de-empresas-interdependentes-art-57-a-da-lei-no-18101997166;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Uma Uferms.;;Meses;2023-05-17 18:45:57.216434+00:00;2025-12-16 19:53:59.682350+00:00
499;Autorização específica - aquisição de milho e soja para uso na ração animal, com diferimento do ICMS;autorizacao-especifica-aquisicao-de-milho-e-soja-para-uso-na-racao-animal-com-diferimento-do-icms117;agropecuaria-e-vida-rural;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Cinco Uferms;;Dias corridos;2023-05-15 11:34:39.551724+00:00;2025-11-25 14:14:21.797845+00:00
390;Autorização específica - armazenagem de álcool combustível ou açúcar em outra usina com diferimento do ICMS;autorizacao-especifica-armazenagem-de-alcool-combustivel-ou-acucar-em-outra-usina-com-diferimento-do-icms133;empresa-industria-e-comercio;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Cinco Uferms;;Dias corridos;2023-05-11 18:02:45.827419+00:00;2025-11-17 17:36:21.428299+00:00
1427;Autorização específica - concessão ou renovação do diferimento do EAC previsto no Convênio ICMS nº 15/2023, no cumprimento de obrigações, que dispõe sobre o regime de tributação monofásica do ICMS;autorizacao-especifica-concessao-ou-renovacao-do-diferimento-do-eac-previsto-no-convenio-icms-no-1523-no-cumprimento-de-obrigacoes-que-dispoe-sobre-o-regime-de-tributacao-monofasica-do-icms71;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Cinco Uferms;;Conforme Tabela em Outras Informações;2025-08-21 18:19:18.103156+00:00;2025-11-17 20:31:45.532376+00:00
566;Autorização específica - credenciamento para remessa de alumínio a estabelecimentos de outra UF, assumindo a responsabilidade pelo pagamento do ICMS (art. 47-A, § 5º, II do Anexo III ao RICMS);autorizacao-especifica-credenciamento-para-remessa-de-aluminio-em-outra-uf-clausula-1a-4o-ii-do-convenio-icms-362016-art-47-a-5o-ii-do-anexo-iii-ao-regulamento-do-icms34;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Cinco Uferms.;;Meses;2023-05-17 17:37:15.636354+00:00;2025-12-16 19:55:34.294170+00:00
